Glod Price,Day
日期	开盘	最高	最低	收盘	成交量
2006/5/24	665.9	670.2	635.5	641.8	4
2006/5/25	641.9	651.3	639	650.5	4
2006/5/26	650.7	654.9	640.7	652.7	4
2006/5/28	652.8	652.8	650.9	650.9	4
2006/5/29	651.7	653.3	646.6	650.4	4
2006/5/30	650.2	664.8	648.2	652.4	4
2006/5/31	652.5	659.1	638.9	644.9	4
2006/6/1	645.2	645.2	621	626.7	4
2006/6/2	626.6	638.4	618.8	637.7	4
2006/6/4	637.7	639.8	637.4	639.6	4
2006/6/5	639.8	645.1	634.2	634.3	4
2006/6/6	634.4	638.7	625.7	628.7	4
2006/6/7	628.4	630.8	616.8	626.2	4
2006/6/8	626.1	626.8	608	610.9	4
2006/6/9	610.8	616.9	600.9	605.9	4
2006/6/11	606.9	608.5	605.2	608.5	4
2006/6/12	608.6	611.2	602.5	603.1	4
2006/6/13	603.2	603.8	561.1	564	4
2006/6/14	563.6	570.7	542.6	554.2	4
2006/6/15	554.3	577.8	554.1	577.5	4
2006/6/16	577.5	584.4	566.8	580	4
2006/6/18	578	579.7	577.3	578.7	4
2006/6/19	578.6	578.9	562.8	564.7	4
2006/6/20	564.9	577.7	560.7	577.7	4
2006/6/21	577.8	590.3	570.6	589.1	4
2006/6/22	589	594.5	579.3	580.9	4
2006/6/23	581	585.6	571.8	583.2	4
2006/6/25	582.7	585.8	582.7	585.7	4
2006/6/26	585.9	586.7	577.3	585	4
2006/6/27	585	595.5	578.7	581.1	4
2006/6/28	581.3	585.8	576.9	580.3	4
2006/6/29	580.7	599.8	580.2	598.6	4
2006/6/30	598.7	615.6	597.2	615.6	4
2006/7/2	613.6	614.8	613.6	614.8	4
2006/7/3	615.4	625.5	615.4	624.3	4
2006/7/4	624.3	627.7	616.8	627.7	4
2006/7/5	628	629.8	617.7	626.4	4
2006/7/6	626.3	634.6	622	632.7	4
2006/7/7	632.5	637	627.5	629.5	4
2006/7/9	628.7	629.7	628.7	629.2	4
2006/7/10	629.1	631.7	620.3	622.2	4
2006/7/11	622.1	643.1	621.4	641.8	4
2006/7/12	642.1	655	639.2	647.5	4
2006/7/13	647.4	665.5	644.6	662.2	4
2006/7/14	662.5	667.1	659.1	664.2	4
2006/7/16	664.3	673.2	664.3	668.7	4
2006/7/17	668.6	675.7	640.8	645.5	4
2006/7/18	645.2	653.9	627.5	629.6	4
2006/7/19	629.7	646	618	643.3	4
2006/7/20	643.5	644.9	626.6	627.7	4
2006/7/21	626.5	636.8	616	621.1	4
2006/7/23	620.3	620.4	616.4	616.8	4
2006/7/24	616.7	619.8	602.1	615.3	4
2006/7/25	616	623.4	609.9	618.2	4
2006/7/26	618.1	626.5	613	623.9	4
2006/7/27	623.9	640.7	623.6	635	4
2006/7/28	635.3	637.6	626.2	633.8	4
2006/7/30	635.3	638.3	635.3	637.9	4
2006/7/31	638	638.8	628.8	636.5	4
2006/8/1	636.6	647.9	630.6	647	4
2006/8/2	647	655.6	645.4	651.1	4
2006/8/3	651.1	652.3	639	645.8	4
2006/8/4	645.6	653.8	643.5	646.4	4
2006/8/6	646.2	646.6	645	646.6	4
2006/8/7	646.7	651.7	645.8	647.7	4
2006/8/8	647.7	648.6	638	639.5	4
2006/8/9	639.6	654.5	635.2	649.4	4
2006/8/10	649.2	653.5	633.7	636.7	4
2006/8/11	636.8	644.4	626.3	631.5	4
2006/8/13	630.9	631	627.2	628.2	4
2006/8/14	628.2	632.6	623.6	626.3	4
2006/8/15	626.2	627.8	620.6	624.4	4
2006/8/16	624.6	632.1	623.7	627.9	4
2006/8/17	627.8	631.5	613	614	4
2006/8/18	614	618.3	607.2	614.2	4
2006/8/20	614.4	615.5	614.4	614.8	4
2006/8/21	614.3	628.7	613.7	626.9	4
2006/8/22	627	628.1	620.4	623.6	4
2006/8/23	623.5	629.8	620.8	622.4	4
2006/8/24	622.3	626	617.8	618.7	4
2006/8/25	618.8	624	618.3	622.6	4
2006/8/27	622.3	623.2	622.2	622.6	4
2006/8/28	622.8	624	612.7	615	4
2006/8/29	614.9	617.3	607.2	614.5	4
2006/8/30	614.4	620.2	612.5	618.4	4
2006/8/31	618.5	626.9	618.3	626.6	4
2006/9/1	626.6	627.3	619.5	625	4
2006/9/3	625.4	625.4	624.5	625	4
2006/9/4	625.2	627.6	625.2	626.1	4
2006/9/5	626	639.7	626	639.1	4
2006/9/6	639.2	639.9	630.8	635	4
2006/9/7	635	635.7	614	617.8	4
2006/9/8	617.9	618.9	606.2	610.1	4
2006/9/10	610.4	610.4	606.2	606.5	4
2006/9/11	606.5	606.5	582.8	587.8	4
2006/9/12	587.8	599	584.2	586.6	4
2006/9/13	586.5	592.8	578.7	589.5	4
2006/9/14	589.5	594.8	574.2	574.6	4
2006/9/15	574.5	581.3	570.6	577.6	4
2006/9/17	579	583	579	580.3	4
2006/9/18	580.4	588.7	578.1	587.4	4
2006/9/19	587.5	587.7	572.1	572.5	4
2006/9/20	572.7	585.9	572.7	575.7	4
2006/9/21	575.6	585.4	574.4	585.1	4
2006/9/22	585.1	592.2	584.3	588.7	4
2006/9/24	589.7	589.7	587	587	4
2006/9/25	586.8	591.5	581.8	591.3	4
2006/9/26	591.4	593.3	586.1	591.2	4
2006/9/27	591.2	603	589.8	602.6	4
2006/9/28	602.7	606.4	600.4	600.8	4
2006/9/29	600.7	603.4	594.3	598.4	4
2006/10/1	598.4	600.6	597.3	600.5	4
2006/10/2	600.8	603.4	594.5	594.8	4
2006/10/3	594.8	597.6	573.8	575.7	4
2006/10/4	575.5	580.4	559.7	565.8	4
2006/10/5	565.6	574	562.3	572.2	4
2006/10/6	572.1	573.7	560.5	573.2	4
2006/10/8	572.6	575.8	572.6	575.8	4
2006/10/9	575.6	580.5	571.3	576.7	4
2006/10/10	576.8	581	569	574	4
2006/10/11	574	578.7	570	573.1	4
2006/10/12	573.1	579.2	570.8	578.8	4
2006/10/13	578.8	589.9	576.8	589.6	4
2006/10/15	589.4	592.9	589.4	591.3	4
2006/10/16	591.2	598.5	589.8	596.4	4
2006/10/17	596.2	597.5	585.8	589.1	4
2006/10/18	589	594.8	587	591.7	4
2006/10/19	591.4	600.3	585.9	599.9	4
2006/10/20	599.8	602.2	590.9	591.6	4
2006/10/22	591.7	592	589.3	589.4	4
2006/10/23	589.5	592.5	579.4	581.3	4
2006/10/24	581.3	586.4	572.7	584.1	4
2006/10/25	584.1	591.9	579.5	591.4	4
2006/10/26	591.4	598.4	589.9	595.3	4
2006/10/27	595.3	599.4	591.7	598.2	4
2006/10/29	599.4	599.6	598.1	599	4
2006/10/30	599	610.3	598.3	603.7	4
2006/10/31	603.6	607.3	597.8	606.2	4
2006/11/1	606.2	619	605.3	616	4
2006/11/2	616.1	625.7	614	624.3	4
2006/11/3	624.4	628.9	617.4	627.7	4
2006/11/5	624.3	627.5	623.9	627.4	4
2006/11/6	627.5	629.4	622.3	623.9	4
2006/11/7	624	628.8	621.6	624.5	4
2006/11/8	624.5	626.5	612.9	616.1	4
2006/11/9	616.1	635.3	614.9	634.6	4
2006/11/10	634.5	636.1	625.1	627.3	4
2006/11/12	627.7	628.2	627.2	628.1	4
2006/11/13	627.9	632.3	620.3	625.5	4
2006/11/14	625.6	629	618.8	621.6	4
2006/11/15	621.6	624.7	615.4	622.7	4
2006/11/16	622.8	627.9	617.8	618.1	4
2006/11/17	618	622.2	614.4	621.1	4
2006/11/19	622	622	620.9	621.2	4
2006/11/20	621.2	626.6	620	622.7	4
2006/11/21	622.8	628.8	621.9	627.5	4
2006/11/22	627.5	634.3	625.9	629.8	4
2006/11/23	629.8	631.9	628.6	630.8	4
2006/11/24	630.8	639.7	630.8	638.3	4
2006/11/26	638	640.6	637.8	640.2	4
2006/11/27	640.4	641.5	636.6	641.5	4
2006/11/28	641.5	641.5	632.6	639.2	4
2006/11/29	639.2	644.3	634.5	636.2	4
2006/11/30	636.2	648.5	636.2	646.8	4
2006/12/1	646.8	649.7	643.3	645.4	4
2006/12/3	645.3	646.9	645.3	646.7	4
2006/12/4	646.8	647.7	640.4	644.9	4
2006/12/5	644.9	648.3	638.4	639.9	4
2006/12/6	639.9	640.3	627.9	630.1	4
2006/12/7	630	633.7	624.6	632.8	4
2006/12/8	632.8	637.7	623.2	624.2	4
2006/12/10	624.4	625.8	623.5	625.7	4
2006/12/11	625.6	630.5	622.8	629.9	4
2006/12/12	629.9	630.7	626.7	629.1	4
2006/12/13	628.9	630	623.2	628	4
2006/12/14	627.8	628.9	625	625.6	4
2006/12/15	625.6	628.6	614.4	615.4	4
2006/12/17	614.8	615.7	614.8	615.4	4
2006/12/18	615.4	618	611.5	616.4	4
2006/12/19	616.4	622.7	614.8	622	4
2006/12/20	622.1	624.2	618.9	620.8	4
2006/12/21	620.8	622.1	617.7	618.7	4
2006/12/22	618.7	621.3	618.1	619.9	4
2006/12/25	620.7	624.4	620.7	622.8	4
2006/12/26	622.8	629	622.4	624.7	4
2006/12/27	624.8	628.9	623.8	626.6	4
2006/12/28	626.7	635.4	626.7	634.6	4
2006/12/29	634.5	636.2	631.8	635.9	4
2007/1/1	637.1	637.5	635.8	636.3	4
2007/1/2	636.3	640.7	636	639.5	4
2007/1/3	639.6	644.7	625	627.2	4
2007/1/4	627.1	630.3	620.5	622.5	4
2007/1/5	622.7	625.8	601.9	606.2	4
2007/1/7	607.9	609.1	607.9	608.2	4
2007/1/8	608.1	610.1	603.4	609.6	4
2007/1/9	609.7	615.3	605.6	613	4
2007/1/10	613	613	605.8	611.3	4
2007/1/11	611.2	615.7	608.7	611.7	4
2007/1/12	611.6	627.2	609.7	625.6	4
2007/1/14	626.5	627.4	625.5	626.2	4
2007/1/15	626.1	627.7	624.7	626.3	4
2007/1/16	626.1	627.7	622.6	623.6	4
2007/1/17	623.5	633.3	619.9	632.7	4
2007/1/18	632.8	636.1	625.9	627.8	4
2007/1/19	627.8	635.9	627.1	635.1	4
2007/1/21	634.9	635.7	634.7	635.2	4
2007/1/22	635.1	639.4	631.7	633.7	4
2007/1/23	634	647.5	633.2	646.2	4
2007/1/24	646.1	648.6	638.7	647.2	4
2007/1/25	647.2	654.2	644.9	645.4	4
2007/1/26	645.3	647.7	640.7	645.8	4
2007/1/28	645.8	647.4	645.8	647.2	4
2007/1/29	647.2	647.6	640.6	642.7	4
2007/1/30	642.6	646.9	640.6	646.4	4
2007/1/31	646.6	654.2	641.9	652.2	4
2007/2/1	652.1	660.8	651.8	656.8	4
2007/2/2	656.8	659.4	642.9	647.4	4
2007/2/4	647.6	648.4	647.6	648.1	4
2007/2/5	648.2	651.8	645.8	648.1	4
2007/2/6	648	658.1	647.8	652.8	4
2007/2/7	652.9	656.4	649.9	651.7	4
2007/2/8	651.7	661.3	647.6	660.4	4
2007/2/9	660.3	668.4	656.7	666.4	4
2007/2/11	665.9	667.9	665.9	667.1	4
2007/2/12	666.9	666.9	659.6	661	4
2007/2/13	660.9	668.7	660.4	663.6	4
2007/2/14	663.6	671.5	663.6	668.8	4
2007/2/15	668.9	670.1	662.2	668.2	4
2007/2/16	668.1	669.2	662.6	668.7	4
2007/2/18	668.9	669.2	668.1	668.2	4
2007/2/19	668.1	673	667.7	670.9	4
2007/2/20	670.8	671.6	655.5	659	4
2007/2/21	659.2	682	656.8	677.6	4
2007/2/22	677.6	680.6	675	675.4	4
2007/2/23	674.8	687.8	672.6	682.8	4
2007/2/25	681.1	683.1	680.5	683.1	4
2007/2/26	683.2	687.8	682.2	686.5	4
2007/2/27	686.5	688.5	659	664.8	4
2007/2/28	665	677.2	661.1	673.8	4
2007/3/1	674	677	655.4	658.7	4
2007/3/2	657.2	663.8	639.6	642.4	4
2007/3/4	642.7	644.3	642.1	642.6	4
2007/3/5	642.7	644.6	632.4	632.7	4
2007/3/6	632.4	647.4	632.4	647.2	4
2007/3/7	647.4	651.2	642.6	647.2	4
2007/3/8	647.5	655.3	647.4	651.7	4
2007/3/9	651.9	657.6	647.3	647.8	4
2007/3/11	650.1	650.1	648.9	649.7	4
2007/3/12	649.3	653.6	645.4	648.9	4
2007/3/13	649	651.6	641.5	642.6	4
2007/3/14	642.7	645.5	636.5	644.6	4
2007/3/15	644.7	649.9	643.7	647.8	4
2007/3/16	648	654.8	645.8	652.8	4
2007/3/18	654.5	655	653.5	654	4
2007/3/19	653.9	655.9	651.8	654.4	4
2007/3/20	654.5	660.5	652.5	658.4	4
2007/3/21	658.4	664.5	656.7	663.4	4
2007/3/22	663.5	666.3	661.7	663.2	4
2007/3/23	663.2	664.3	655	657	4
2007/3/25	655.8	657.7	655.7	657.6	4
2007/3/26	657.8	664.6	657.7	663.2	4
2007/3/27	663.2	668.4	661.4	665.6	4
2007/3/28	665.7	668.8	663.2	664.9	4
2007/3/29	664.9	665.5	655.2	661.3	4
2007/3/30	661.2	667.3	660.8	663.4	4
2007/4/1	663.2	665.5	663.2	665.5	4
2007/4/2	665.6	665.9	656.3	663.1	4
2007/4/3	663	667.1	661.8	663.3	4
2007/4/4	663.4	675.1	663.4	674	4
2007/4/5	673.8	675	671.3	673.4	4
2007/4/6	673.4	674.2	672.9	674.2	4
2007/4/8	674.2	674.2	671.7	672.3	4
2007/4/9	672.3	677.4	670.3	671.9	4
2007/4/10	672	680.9	671	677	4
2007/4/11	677	680.2	674.1	677.2	4
2007/4/12	677.2	679.3	671.1	676.5	4
2007/4/13	676.6	685	676.2	683.8	4
2007/4/15	685.2	686.7	685	685.1	4
2007/4/16	685	690.7	682.8	690.2	4
2007/4/17	690.1	690.5	685.7	687.2	4
2007/4/18	687.2	690.5	685.5	689.4	4
2007/4/19	689.3	691.4	678.9	683.6	4
2007/4/20	683.8	693.2	683.1	691.4	4
2007/4/22	691.6	693.2	691.6	692.3	4
2007/4/23	692.4	693.2	686.8	689.7	4
2007/4/24	689.6	691.5	681.1	683.9	4
2007/4/25	683.6	686.2	682.1	684.6	4
2007/4/26	684.8	686.4	671.1	674.3	4
2007/4/27	674.2	681.2	670.8	680.8	4
2007/4/29	680.6	681.3	679.4	679.5	4
2007/4/30	679.5	680.7	675.6	678.4	4
2007/5/1	678.5	678.7	671.8	674.2	4
2007/5/2	673.9	674.6	667.3	672.4	4
2007/5/3	672.4	681.9	671.8	681.6	4
2007/5/4	681.6	689.9	679.9	687.8	4
2007/5/6	688	688.5	687.7	687.9	4
2007/5/7	687.8	690.5	686.3	688.1	4
2007/5/8	688	688.4	681.8	685	4
2007/5/9	685.2	686.2	675.5	680.6	4
2007/5/10	680.4	680.4	664.2	664.7	4
2007/5/11	664.5	672.4	664.4	670.9	4
2007/5/13	671	671.9	669.5	671.8	4
2007/5/14	671.9	674.7	666.3	669	4
2007/5/15	669	673.1	664.8	671.9	4
2007/5/16	672	673.1	659.5	661.9	4
2007/5/17	662.1	664.2	653.7	657.4	4
2007/5/18	657.5	662.6	655.6	660.8	4
2007/5/20	661.4	663.6	661.3	661.6	4
2007/5/21	661.6	663.3	656.8	662.6	4
2007/5/22	662.6	664.9	658	658.5	4
2007/5/23	658.5	664.2	657.2	661.7	4
2007/5/24	661.8	662.3	651.7	653.7	4
2007/5/25	653.8	656.5	653.2	655.4	4
2007/5/27	655.4	655.6	655.2	655.6	4
2007/5/28	655.6	656.1	654.7	655.2	4
2007/5/29	655.3	662.2	654.5	656.9	4
2007/5/30	657	658.4	651.8	654.4	4
2007/5/31	654.4	661.5	654.3	660.5	4
2007/6/1	660.4	671.3	660.4	670.4	4
2007/6/3	670.9	671.2	670.6	670.9	4
2007/6/4	670.8	673.5	668.3	671.3	4
2007/6/5	671.1	673.1	668.8	670.5	4
2007/6/6	670.4	671.7	665	669.7	4
2007/6/7	669.8	672.6	657.9	659.2	4
2007/6/8	659.2	661.1	644	648.8	4
2007/6/10	648.9	649.8	648.5	649.7	4
2007/6/11	649.6	654.6	649.5	653.1	4
2007/6/12	653	654.3	645.5	647.2	4
2007/6/13	647.2	652	642.8	650.8	4
2007/6/14	650.9	653.7	645.8	652.6	4
2007/6/15	652.6	655.4	649.8	654.6	4
2007/6/17	655.2	656.5	654.6	656.2	4
2007/6/18	656.1	658.8	654.4	656.5	4
2007/6/19	656.6	661.6	653.6	661.1	4
2007/6/20	660.8	661.2	652.3	654.3	4
2007/6/21	654.1	656.2	647.6	651.2	4
2007/6/22	651.1	655.9	650.5	653.4	4
2007/6/24	653.8	654.1	652.2	652.2	4
2007/6/25	652.1	653.7	648.6	651	4
2007/6/26	650.9	651.5	639.4	641.3	4
2007/6/27	641.7	644.4	640.1	642.9	4
2007/6/28	642.9	649.4	642.9	648.1	4
2007/6/29	648.1	652.1	646.2	648.9	4
2007/7/1	649.5	651	649.4	650.3	4
2007/7/2	650.3	658.2	648.5	655.8	4
2007/7/3	655.9	657.7	651.8	653.4	4
2007/7/4	653.3	654.6	653	653.9	4
2007/7/5	653.8	656.2	645.6	648.8	4
2007/7/6	648.8	655.1	644.9	655.1	4
2007/7/8	655.5	656.2	654.9	654.9	4
2007/7/9	655	662.4	653.6	659.6	4
2007/7/10	659.5	664.5	658.4	663.4	4
2007/7/11	663.3	665.6	659.6	660.9	4
2007/7/12	661	668.9	660.7	666.2	4
2007/7/13	666.1	668.2	663.1	666.6	4
2007/7/15	667	667	666.1	666.7	4
2007/7/16	666.7	668.4	663.3	665	4
2007/7/17	665.2	666.8	662.4	664.6	4
2007/7/18	664.5	673.7	664.5	673	4
2007/7/19	672.9	677.5	671.2	676.5	4
2007/7/20	676.4	685.9	675	682.8	4
2007/7/22	683.4	684.2	682.3	682.3	4
2007/7/23	682.4	684.6	680	681.9	4
2007/7/24	681.8	687.1	680.4	680.9	4
2007/7/25	680.9	681.4	670.5	675.5	4
2007/7/26	675.4	676.3	657.6	662.1	4
2007/7/27	662.3	666.6	656.5	660.8	4
2007/7/29	660.8	661.6	660.1	661	4
2007/7/30	660.8	665.4	659.6	664.8	4
2007/7/31	664.9	668.4	662.8	663.6	4
2007/8/1	663.6	667.2	658.9	665	4
2007/8/2	665.1	666.5	662.4	665	4
2007/8/3	665	675	664.8	673.7	4
2007/8/5	672.6	675.2	672.2	672.6	4
2007/8/6	672.5	674.6	668.8	671.4	4
2007/8/7	671.4	672.2	665.9	671	4
2007/8/8	671.2	676.4	669.4	673.4	4
2007/8/9	673.3	674	659.1	661.6	4
2007/8/10	661.7	675.9	657.8	672.5	4
2007/8/12	671.9	672.2	670.4	670.5	4
2007/8/13	670.3	671.7	668.2	668.6	4
2007/8/14	668.6	670.9	665.5	669.4	4
2007/8/15	669.4	670.4	661.9	667.4	4
2007/8/16	667.5	667.6	641.8	648.8	4
2007/8/17	648.7	663.6	645.4	656.9	4
2007/8/19	656.9	656.9	653.6	653.8	4
2007/8/20	653.7	660.1	653	657.2	4
2007/8/21	657.1	659.5	654.3	657.1	4
2007/8/22	657.2	661.4	654.4	660.2	4
2007/8/23	660.1	664.6	658.3	659.2	4
2007/8/24	659.2	668.5	657.1	668.3	4
2007/8/26	668.1	668.1	667	667.1	4
2007/8/27	667.1	668	665.3	665.8	4
2007/8/28	665.8	667.9	661.6	662.1	4
2007/8/29	661.9	668.5	661	666.3	4
2007/8/30	666.3	667.5	663.3	665.4	4
2007/8/31	665.4	674.4	664.4	672.4	4
2007/9/2	672.4	673.1	672.3	672.3	4
2007/9/3	672.3	673.2	671.2	671.7	4
2007/9/4	671.6	682.9	671.2	680.6	4
2007/9/5	680.7	682.5	678.1	681.4	4
2007/9/6	681.5	697.2	680.8	694.6	4
2007/9/7	694.4	706.4	691.8	699.8	4
2007/9/9	700.5	701.1	699.1	700.3	4
2007/9/10	700.3	706.5	698.9	702.9	4
2007/9/11	702.8	713.8	702.2	710.5	4
2007/9/12	710.4	713.9	705.5	711.1	4
2007/9/13	711.2	711.9	703.2	705.9	4
2007/9/14	705.9	716.9	703.7	707.2	4
2007/9/16	707	707.8	705.9	707.6	4
2007/9/17	707.9	719.7	707.6	715.5	4
2007/9/18	715.4	726.7	711.6	723.9	4
2007/9/19	723.6	725.4	719.7	721.5	4
2007/9/20	721.6	738.1	721.5	733.5	4
2007/9/21	733.6	739.1	726.5	730.7	4
2007/9/23	730.7	731	728.9	730.8	4
2007/9/24	730.9	735.9	725.9	730.6	4
2007/9/25	730.3	733.2	722.2	731.1	4
2007/9/26	731.1	736.3	726.3	727.6	4
2007/9/27	727.7	735.6	727	734.2	4
2007/9/28	734.1	745.4	733.9	742.6	4
2007/9/30	743.5	744.4	742.5	742.8	4
2007/10/1	742.9	747.4	740.9	746.7	4
2007/10/2	746.7	746.7	724.3	732.4	4
2007/10/3	732.5	735.8	726.1	728.1	4
2007/10/4	727.9	738	720.6	735.6	4
2007/10/5	735.5	743.9	727	741.5	4
2007/10/7	742.1	742.1	740.3	741.3	4
2007/10/8	741.6	742	731	731.1	4
2007/10/9	731.4	740.2	726.8	737.3	4
2007/10/10	737.2	745.5	737.1	740.7	4
2007/10/11	740.9	753.3	740.9	748.5	4
2007/10/12	748.6	752	744.6	749	4
2007/10/14	749.6	749.6	747.3	748.1	4
2007/10/15	748.1	759.8	748	757.4	4
2007/10/16	757.4	766.7	753.9	760.8	4
2007/10/17	760.9	764.4	751.4	755.6	4
2007/10/18	755.8	770.7	755.6	769.4	4
2007/10/19	769.5	769.9	758.1	765.7	4
2007/10/21	765.8	768	765.8	767.3	4
2007/10/22	767.4	767.8	745.1	753.4	4
2007/10/23	753.3	760.5	753.1	758.1	4
2007/10/24	758.3	764.1	753.7	762.7	4
2007/10/25	762.6	769.5	761.6	769.5	4
2007/10/26	769.5	785.4	769.5	784.6	4
2007/10/28	787.6	789.5	786.6	789	4
2007/10/29	789	794.2	785	790.6	4
2007/10/30	790.7	790.7	777.6	777.7	4
2007/10/31	777.8	798.4	776.6	797.6	4
2007/11/1	797.4	799	783.8	789.9	4
